address_id,address_text,city,province,postal_code,latitude,longitude
ADR00001,"Jalan Gg. Stasiun Wonokromo No. 88, RT 06/RW 03",Jakarta,DKI Jakarta,51088,72.75759,-98.270915
ADR00002,"Perum. Gg. Dipenogoro No. 111, RT 14/RW 02",Denpasar,Bali,87485,-24.6647955,-136.946416
ADR00003,"Perum. Gang Peta No. 33, RT 09/RW 01",Makassar,Sulawesi Selatan,08725,-22.6517275,88.123216
ADR00004,"Jl. Gang Rumah Sakit No. 11, RT 13/RW 02",Denpasar,Bali,88176,54.1251275,-59.362141
ADR00005,"Jl. Jalan Gegerkalong Hilir No. 196, RT 02/RW 02",Semarang,Jawa Tengah,78110,88.1424555,-116.446471
ADR00006,"Jl. Jalan Gardujati No. 92, RT 13/RW 10",Makassar,Sulawesi Selatan,44693,-65.8371645,44.962767
ADR00007,"Jl. Gg. Tebet Barat Dalam No. 77, RT 08/RW 05",Bandung,Jawa Barat,64919,-84.9287225,84.94363
ADR00008,"Jl. Gg. Pelajar Pejuang No. 47, RT 08/RW 07",Medan,Sumatera Utara,19649,-41.4650605,-51.824198
ADR00009,"Jl. Gg. W.R. Supratman No. 23, RT 14/RW 01",Bandung,Jawa Barat,90174,48.9410065,-22.488374
ADR00010,"Jl. Gg. Jamika No. 146, RT 12/RW 04",Jakarta,DKI Jakarta,67193,-73.273372,25.473386
ADR00011,"Gang Gang Kiaracondong No. 2, RT 14/RW 07",Semarang,Jawa Tengah,87535,53.2026735,171.075359
ADR00012,"Gg. Jl. Pasteur No. 194, RT 02/RW 10",Yogyakarta,DI Yogyakarta,59513,-38.789772,-58.437161
ADR00013,"Gang Gg. Kutisari Selatan No. 66, RT 01/RW 10",Surabaya,Jawa Timur,43232,-15.949587,42.960531
ADR00014,"Jl. Gg. Setiabudhi No. 160, RT 12/RW 02",Medan,Sumatera Utara,69788,-37.6189045,172.691203
ADR00015,"Jl. Gang Ronggowarsito No. 97, RT 01/RW 10",Denpasar,Bali,04397,-57.5884965,89.530298
ADR00016,"Jalan Jalan Rawamangun No. 124, RT 05/RW 08",Makassar,Sulawesi Selatan,69656,-14.3390075,10.718791
ADR00017,"Gg. Jalan Kutisari Selatan No. 200, RT 03/RW 06",Bandung,Jawa Barat,84034,40.712641,52.24643
ADR00018,"Gang Gang Soekarno Hatta No. 85, RT 01/RW 01",Surabaya,Jawa Timur,40668,69.461318,137.616163
ADR00019,"Jalan Jalan Sadang Serang No. 59, RT 04/RW 06",Denpasar,Bali,28369,-27.666137,-177.076885
ADR00020,"Gg. Jl. Dipenogoro No. 45, RT 14/RW 06",Semarang,Jawa Tengah,21398,-39.2403985,-170.827404
ADR00021,"Gang Jl. Astana Anyar No. 196, RT 08/RW 04",Surabaya,Jawa Timur,65723,54.1275635,50.221368
ADR00022,"Gg. Gg. Cikapayang No. 57, RT 07/RW 04",Denpasar,Bali,86191,-24.525458,51.491842
ADR00023,"Gg. Jalan Tubagus Ismail No. 197, RT 11/RW 07",Yogyakarta,DI Yogyakarta,80518,-6.67282,-155.081013
ADR00024,"Jl. Gang Rajiman No. 121, RT 05/RW 09",Makassar,Sulawesi Selatan,50318,51.9791855,-17.86988
