user_id,full_name,email,phone_number,registration_date,registration_channel,date_of_birth,gender,city,province,is_email_verified,is_phone_verified,account_status
USR00001,"Balidin Dongoran, S.T.",ivanmandala@hotmail.com,081448398260,2026-01-21 19:14:11.779221,email,1972-05-28,Female,Medan,Sumatera Utara,True,True,active
USR00002,"Opung Palastri, S.Pt",bfirmansyah@gmail.com,089535809507,2025-12-25 17:13:14.779221,phone,1980-04-23,Male,Jakarta,DKI Jakarta,True,True,active
USR00003,Johan Suartini,purwantihasta@hotmail.com,089510702802,2026-02-16 20:01:19.779221,phone,2002-07-07,Male,Yogyakarta,DI Yogyakarta,True,True,active
USR00004,Gawati Hassanah,adinata26@yahoo.com,081796198970,2025-12-18 00:36:25.779221,phone,1984-05-04,Female,Denpasar,Bali,True,True,active
USR00005,Darijan Sirait,iswahyudiprabawa@gmail.com,085528505072,2026-05-13 16:03:14.779221,phone,1989-11-10,Female,Surabaya,Jawa Timur,True,True,active
USR00006,"dr. Rahmi Saptono, S.Gz",hnasyiah@yahoo.com,085527071472,2026-05-09 22:32:08.779221,google,1970-10-17,Female,Semarang,Jawa Tengah,True,True,active
USR00007,T. Radit Utami,kezia31@gmail.com,08566551912,2025-12-13 09:24:07.779221,email,1980-12-09,Female,Medan,Sumatera Utara,True,True,active
USR00008,"T. Bahuwirya Pradipta, S.IP",dsetiawan@hotmail.com,082258037222,2025-12-22 05:01:46.779221,facebook,1990-04-04,Male,Bandung,Jawa Barat,True,True,active
USR00009,Hairyanto Thamrin,umisantoso@hotmail.com,082279492537,2026-04-06 16:57:55.779221,google,1970-04-16,Male,Semarang,Jawa Tengah,True,True,active
USR00010,Hj. Ella Nasyidah,gamantohariyah@yahoo.com,085545306385,2026-04-14 20:37:41.779221,google,1983-10-20,Female,Yogyakarta,DI Yogyakarta,True,True,suspended
USR00011,"Malik Puspita, S.H.",balidin30@yahoo.com,081237411730,2026-03-25 05:57:29.779221,facebook,1992-09-24,Male,Makassar,Sulawesi Selatan,True,True,active
USR00012,Bella Prabowo,irwan76@hotmail.com,081285679497,2026-06-02 14:48:03.779221,google,1996-08-27,Male,Jakarta,DKI Jakarta,True,True,active
USR00013,Eman Mandala,iriananasyiah@yahoo.com,08562352134,2026-05-30 08:28:58.779221,facebook,2005-03-18,Female,Denpasar,Bali,True,True,active
USR00014,Restu Wacana,ismail28@yahoo.com,081376652083,2025-12-31 09:09:00.779221,phone,1971-08-14,Male,Yogyakarta,DI Yogyakarta,True,True,active
